"","id","pokemon","id_especie","altura","peso","exp_base","tipo_1","tipo_2","hp","ataque","defesa","ataque_especial","defesa_especial","velocidade","cor_1","cor_2","cor_final","grupo_ovo_1","grupo_ovo_2","url_icone","url_imagem","id_geracao"
"241",241,"miltank",241,0.12,7.55,172,"normal",NA,95,80,105,40,70,100,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/9/9d/241MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/241.png",2
"242",242,"blissey",242,0.15,4.68,608,"normal",NA,255,10,10,75,135,55,"#A8A878",NA,NA,"fairy",NA,"//archives.bulbagarden.net/media/upload/d/d8/242MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/242.png",2
"243",243,"raikou",243,0.19,17.8,261,"elétrico",NA,90,85,75,115,100,115,"#F8D030",NA,NA,"no-eggs",NA,"//archives.bulbagarden.net/media/upload/b/b4/243MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/243.png",2
"244",244,"entei",244,0.21,19.8,261,"fogo",NA,115,115,85,90,75,100,"#F08030",NA,NA,"no-eggs",NA,"//archives.bulbagarden.net/media/upload/1/14/244MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/244.png",2
"245",245,"suicune",245,0.2,18.7,261,"água",NA,100,75,115,90,115,85,"#6890F0",NA,NA,"no-eggs",NA,"//archives.bulbagarden.net/media/upload/7/7d/245MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/245.png",2
"246",246,"larvitar",246,0.06,7.2,60,"pedra","terrestre",50,64,50,45,50,41,"#B8A038","#E0C068","#C1A743","monster",NA,"//archives.bulbagarden.net/media/upload/b/be/246MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/246.png",2
"247",247,"pupitar",247,0.12,15.2,144,"pedra","terrestre",70,84,70,65,70,51,"#B8A038","#E0C068","#C1A743","monster",NA,"//archives.bulbagarden.net/media/upload/4/44/247MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/247.png",2
"248",248,"tyranitar",248,0.2,20.2,270,"pedra","sombrio",100,134,110,95,100,61,"#B8A038","#705848","#A68E3B","monster",NA,"//archives.bulbagarden.net/media/upload/d/d6/248MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/248.png",2
"249",249,"lugia",249,0.52,21.6,306,"psíquico","voador",106,90,130,90,154,110,"#F85888","#A890F0","#E465A1","no-eggs",NA,"//archives.bulbagarden.net/media/upload/e/e8/249MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/249.png",2
"250",250,"ho-oh",250,0.38,19.9,306,"fogo","voador",106,130,90,110,154,90,"#F08030","#A890F0","#DE835E","no-eggs",NA,"//archives.bulbagarden.net/media/upload/c/cf/250MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/250.png",2
"251",251,"celebi",251,0.06,0.5,270,"psíquico","grama",100,100,100,100,100,100,"#F85888","#78C850","#D8737A","no-eggs",NA,"//archives.bulbagarden.net/media/upload/1/15/251MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/251.png",2
"252",252,"treecko",252,0.05,0.5,62,"grama",NA,40,45,35,65,55,70,"#78C850",NA,NA,"monster","dragon","//archives.bulbagarden.net/media/upload/2/2e/252MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/252.png",3
"253",253,"grovyle",253,0.09,2.16,142,"grama",NA,50,65,45,85,65,95,"#78C850",NA,NA,"monster","dragon","//archives.bulbagarden.net/media/upload/b/b7/253MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/253.png",3
"254",254,"sceptile",254,0.17,5.22,239,"grama",NA,70,85,65,105,85,120,"#78C850",NA,NA,"monster","dragon","//archives.bulbagarden.net/media/upload/e/e2/254MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/254.png",3
"255",255,"torchic",255,0.04,0.25,62,"fogo",NA,45,60,40,70,50,45,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/4/41/255MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/255.png",3
"256",256,"combusken",256,0.09,1.95,142,"fogo","lutador",60,85,60,85,60,55,"#F08030","#C03028","#E46C2E","ground",NA,"//archives.bulbagarden.net/media/upload/6/6e/256MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/256.png",3
"257",257,"blaziken",257,0.19,5.2,239,"fogo","lutador",80,120,70,110,70,80,"#F08030","#C03028","#E46C2E","ground",NA,"//archives.bulbagarden.net/media/upload/6/6d/257MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/257.png",3
"258",258,"mudkip",258,0.04,0.76,62,"água",NA,50,70,50,50,50,40,"#6890F0",NA,NA,"monster","water1","//archives.bulbagarden.net/media/upload/a/ab/258MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/258.png",3
"259",259,"marshtomp",259,0.07,2.8,142,"água","terrestre",70,85,70,60,70,50,"#6890F0","#E0C068","#859BCF","monster","water1","//archives.bulbagarden.net/media/upload/e/eb/259MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/259.png",3
"260",260,"swampert",260,0.15,8.19,241,"água","terrestre",100,110,90,85,90,60,"#6890F0","#E0C068","#859BCF","monster","water1","//archives.bulbagarden.net/media/upload/0/09/260MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/260.png",3
"261",261,"poochyena",261,0.05,1.36,56,"sombrio",NA,35,55,35,30,30,35,"#705848",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/3/39/261MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/261.png",3
"262",262,"mightyena",262,0.1,3.7,147,"sombrio",NA,70,90,70,60,60,70,"#705848",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/b/ba/262MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/262.png",3
"263",263,"zigzagoon",263,0.04,1.75,56,"normal",NA,38,30,41,30,41,60,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/4/49/263MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/263.png",3
"264",264,"linoone",264,0.05,3.25,147,"normal",NA,78,70,61,50,61,100,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/2/22/264MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/264.png",3
"265",265,"wurmple",265,0.03,0.36,56,"inseto",NA,45,45,35,20,30,20,"#A8B820",NA,NA,"bug",NA,"//archives.bulbagarden.net/media/upload/f/f4/265MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/265.png",3
"266",266,"silcoon",266,0.06,1,72,"inseto",NA,50,35,55,25,25,15,"#A8B820",NA,NA,"bug",NA,"//archives.bulbagarden.net/media/upload/7/76/266MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/266.png",3
"267",267,"beautifly",267,0.1,2.84,178,"inseto","voador",60,70,50,100,50,65,"#A8B820","#A890F0","#A8AE52","bug",NA,"//archives.bulbagarden.net/media/upload/0/0e/267MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/267.png",3
"268",268,"cascoon",268,0.07,1.15,72,"inseto",NA,50,35,55,25,25,15,"#A8B820",NA,NA,"bug",NA,"//archives.bulbagarden.net/media/upload/7/70/268MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/268.png",3
"269",269,"dustox",269,0.12,3.16,173,"inseto","venenoso",60,50,70,50,90,65,"#A8B820","#A040A0","#A69A3F","bug",NA,"//archives.bulbagarden.net/media/upload/a/ac/269MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/269.png",3
"270",270,"lotad",270,0.05,0.26,44,"água","grama",40,30,30,40,50,30,"#6890F0","#78C850","#6B9DC9","water1","plant","//archives.bulbagarden.net/media/upload/1/18/270MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/270.png",3
"271",271,"lombre",271,0.12,3.25,119,"água","grama",60,50,50,60,70,50,"#6890F0","#78C850","#6B9DC9","water1","plant","//archives.bulbagarden.net/media/upload/3/3e/271MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/271.png",3
"272",272,"ludicolo",272,0.15,5.5,216,"água","grama",80,70,70,90,100,70,"#6890F0","#78C850","#6B9DC9","water1","plant","//archives.bulbagarden.net/media/upload/2/2c/272MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/272.png",3
"273",273,"seedot",273,0.05,0.4,44,"grama",NA,40,40,50,30,30,30,"#78C850",NA,NA,"ground","plant","//archives.bulbagarden.net/media/upload/9/92/273MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/273.png",3
"274",274,"nuzleaf",274,0.1,2.8,119,"grama","sombrio",70,70,40,60,40,60,"#78C850","#705848","#76AC4E","ground","plant","//archives.bulbagarden.net/media/upload/c/cb/274MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/274.png",3
"275",275,"shiftry",275,0.13,5.96,216,"grama","sombrio",90,100,60,90,60,80,"#78C850","#705848","#76AC4E","ground","plant","//archives.bulbagarden.net/media/upload/8/87/275MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/275.png",3
"276",276,"taillow",276,0.03,0.23,54,"normal","voador",40,55,30,30,30,85,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/2/2f/276MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/276.png",3
"277",277,"swellow",277,0.07,1.98,159,"normal","voador",60,85,60,75,50,125,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/6/65/277MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/277.png",3
"278",278,"wingull",278,0.06,0.95,54,"água","voador",40,30,30,55,30,85,"#6890F0","#A890F0","#7790F0","water1","flying","//archives.bulbagarden.net/media/upload/a/a7/278MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/278.png",3
"279",279,"pelipper",279,0.12,2.8,154,"água","voador",60,50,100,95,70,65,"#6890F0","#A890F0","#7790F0","water1","flying","//archives.bulbagarden.net/media/upload/0/06/279MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/279.png",3
"280",280,"ralts",280,0.04,0.66,40,"psíquico","fada",28,25,25,45,35,40,"#F85888","#EE99AC","#F56790","indeterminate",NA,"//archives.bulbagarden.net/media/upload/0/0a/280MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/280.png",3
"281",281,"kirlia",281,0.08,2.02,97,"psíquico","fada",38,35,35,65,55,50,"#F85888","#EE99AC","#F56790","indeterminate",NA,"//archives.bulbagarden.net/media/upload/7/71/281MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/281.png",3
"282",282,"gardevoir",282,0.16,4.84,233,"psíquico","fada",68,65,65,125,115,80,"#F85888","#EE99AC","#F56790","indeterminate",NA,"//archives.bulbagarden.net/media/upload/c/ce/282MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/282.png",3
"283",283,"surskit",283,0.05,0.17,54,"inseto","água",40,30,32,50,52,65,"#A8B820","#6890F0","#98AE52","water1","bug","//archives.bulbagarden.net/media/upload/0/09/283MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/283.png",3
"284",284,"masquerain",284,0.08,0.36,159,"inseto","voador",70,60,62,100,82,80,"#A8B820","#A890F0","#A8AE52","water1","bug","//archives.bulbagarden.net/media/upload/d/d5/284MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/284.png",3
"285",285,"shroomish",285,0.04,0.45,59,"grama",NA,60,40,60,40,60,35,"#78C850",NA,NA,"fairy","plant","//archives.bulbagarden.net/media/upload/7/70/285MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/285.png",3
"286",286,"breloom",286,0.12,3.92,161,"grama","lutador",60,130,80,60,60,70,"#78C850","#C03028","#89A346","fairy","plant","//archives.bulbagarden.net/media/upload/8/8c/286MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/286.png",3
"287",287,"slakoth",287,0.08,2.4,56,"normal",NA,60,60,60,35,35,30,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/a/af/287MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/287.png",3
"288",288,"vigoroth",288,0.14,4.65,154,"normal",NA,80,80,80,55,55,90,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/e/e6/288MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/288.png",3
"289",289,"slaking",289,0.2,13.05,252,"normal",NA,150,160,100,95,65,100,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/f/f3/289MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/289.png",3
"290",290,"nincada",290,0.05,0.55,53,"inseto","terrestre",31,45,90,30,30,40,"#A8B820","#E0C068","#B5B931","bug",NA,"//archives.bulbagarden.net/media/upload/a/a6/290MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/290.png",3
"291",291,"ninjask",291,0.08,1.2,160,"inseto","voador",61,90,45,50,50,160,"#A8B820","#A890F0","#A8AE52","bug",NA,"//archives.bulbagarden.net/media/upload/9/9c/291MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/291.png",3
"292",292,"shedinja",292,0.08,0.12,83,"inseto","fantasma",1,90,45,30,30,40,"#A8B820","#705898","#9AA03D","mineral",NA,"//archives.bulbagarden.net/media/upload/3/31/292MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/292.png",3
"293",293,"whismur",293,0.06,1.63,48,"normal",NA,64,51,23,51,23,28,"#A8A878",NA,NA,"monster","ground","//archives.bulbagarden.net/media/upload/3/3b/293MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/293.png",3
"294",294,"loudred",294,0.1,4.05,126,"normal",NA,84,71,43,71,43,48,"#A8A878",NA,NA,"monster","ground","//archives.bulbagarden.net/media/upload/1/1d/294MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/294.png",3
"295",295,"exploud",295,0.15,8.4,221,"normal",NA,104,91,63,91,73,68,"#A8A878",NA,NA,"monster","ground","//archives.bulbagarden.net/media/upload/d/dc/295MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/295.png",3
"296",296,"makuhita",296,0.1,8.64,47,"lutador",NA,72,60,30,20,30,25,"#C03028",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/d/d9/296MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/296.png",3
"297",297,"hariyama",297,0.23,25.38,166,"lutador",NA,144,120,60,40,60,50,"#C03028",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/6/63/297MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/297.png",3
"298",298,"azurill",298,0.02,0.2,38,"normal","fada",50,20,40,20,40,20,"#A8A878","#EE99AC","#B8A484","no-eggs",NA,"//archives.bulbagarden.net/media/upload/b/b2/298MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/298.png",3
"299",299,"nosepass",299,0.1,9.7,75,"pedra",NA,30,45,135,45,90,30,"#B8A038",NA,NA,"mineral",NA,"//archives.bulbagarden.net/media/upload/6/65/299MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/299.png",3
"300",300,"skitty",300,0.06,1.1,52,"normal",NA,50,45,45,35,35,50,"#A8A878",NA,NA,"ground","fairy","//archives.bulbagarden.net/media/upload/a/ad/300MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/300.png",3
"301",301,"delcatty",301,0.11,3.26,140,"normal",NA,70,65,65,55,55,90,"#A8A878",NA,NA,"ground","fairy","//archives.bulbagarden.net/media/upload/e/ea/301MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/301.png",3
"302",302,"sableye",302,0.05,1.1,133,"sombrio","fantasma",50,75,75,65,65,50,"#705848","#705898","#70585B","humanshape",NA,"//archives.bulbagarden.net/media/upload/3/34/302MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/302.png",3
"303",303,"mawile",303,0.06,1.15,133,"aço","fada",50,85,85,55,55,50,"#B8B8D0","#EE99AC","#C5B0C7","ground","fairy","//archives.bulbagarden.net/media/upload/0/09/303MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/303.png",3
"304",304,"aron",304,0.04,6,66,"aço","pedra",50,70,100,40,40,30,"#B8B8D0","#B8A038","#B8B2AB","monster",NA,"//archives.bulbagarden.net/media/upload/0/07/304MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/304.png",3
"305",305,"lairon",305,0.09,12,151,"aço","pedra",60,90,140,50,50,40,"#B8B8D0","#B8A038","#B8B2AB","monster",NA,"//archives.bulbagarden.net/media/upload/5/51/305MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/305.png",3
"306",306,"aggron",306,0.21,36,239,"aço","pedra",70,110,180,60,60,50,"#B8B8D0","#B8A038","#B8B2AB","monster",NA,"//archives.bulbagarden.net/media/upload/9/95/306MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/306.png",3
"307",307,"meditite",307,0.06,1.12,56,"lutador","psíquico",30,40,55,40,55,60,"#C03028","#F85888","#CD393F","humanshape",NA,"//archives.bulbagarden.net/media/upload/1/1a/307MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/307.png",3
"308",308,"medicham",308,0.13,3.15,144,"lutador","psíquico",60,60,75,60,75,80,"#C03028","#F85888","#CD393F","humanshape",NA,"//archives.bulbagarden.net/media/upload/c/cf/308MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/308.png",3
"309",309,"electrike",309,0.06,1.52,59,"elétrico",NA,40,45,40,65,40,65,"#F8D030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/4/4d/309MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/309.png",3
"310",310,"manectric",310,0.15,4.02,166,"elétrico",NA,70,75,60,105,60,105,"#F8D030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/8/8a/310MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/310.png",3
"311",311,"plusle",311,0.04,0.42,142,"elétrico",NA,60,50,40,85,75,95,"#F8D030",NA,NA,"fairy",NA,"//archives.bulbagarden.net/media/upload/f/f2/311MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/311.png",3
"312",312,"minun",312,0.04,0.42,142,"elétrico",NA,60,40,50,75,85,95,"#F8D030",NA,NA,"fairy",NA,"//archives.bulbagarden.net/media/upload/3/35/312MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/312.png",3
"313",313,"volbeat",313,0.07,1.77,151,"inseto",NA,65,73,75,47,85,85,"#A8B820",NA,NA,"bug","humanshape","//archives.bulbagarden.net/media/upload/7/75/313MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/313.png",3
"314",314,"illumise",314,0.06,1.77,151,"inseto",NA,65,47,75,73,85,85,"#A8B820",NA,NA,"bug","humanshape","//archives.bulbagarden.net/media/upload/2/23/314MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/314.png",3
"315",315,"roselia",315,0.03,0.2,140,"grama","venenoso",50,60,45,100,80,65,"#78C850","#A040A0","#81A763","fairy","plant","//archives.bulbagarden.net/media/upload/4/42/315MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/315.png",3
"316",316,"gulpin",316,0.04,1.03,60,"venenoso",NA,70,43,53,43,53,40,"#A040A0",NA,NA,"indeterminate",NA,"//archives.bulbagarden.net/media/upload/d/db/316MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/316.png",3
"317",317,"swalot",317,0.17,8,163,"venenoso",NA,100,73,83,73,83,55,"#A040A0",NA,NA,"indeterminate",NA,"//archives.bulbagarden.net/media/upload/e/ed/317MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/317.png",3
"318",318,"carvanha",318,0.08,2.08,61,"água","sombrio",45,90,20,65,20,65,"#6890F0","#705848","#6982C7","water2",NA,"//archives.bulbagarden.net/media/upload/c/c9/318MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/318.png",3
"319",319,"sharpedo",319,0.18,8.88,161,"água","sombrio",70,120,40,95,40,95,"#6890F0","#705848","#6982C7","water2",NA,"//archives.bulbagarden.net/media/upload/2/23/319MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/319.png",3
"320",320,"wailmer",320,0.2,13,80,"água",NA,130,70,35,70,35,60,"#6890F0",NA,NA,"ground","water2","//archives.bulbagarden.net/media/upload/d/d6/320MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/320.png",3
"321",321,"wailord",321,1.45,39.8,175,"água",NA,170,90,45,90,45,60,"#6890F0",NA,NA,"ground","water2","//archives.bulbagarden.net/media/upload/5/5d/321MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/321.png",3
"322",322,"numel",322,0.07,2.4,61,"fogo","terrestre",60,60,40,65,45,35,"#F08030","#E0C068","#EC8F3D","ground",NA,"//archives.bulbagarden.net/media/upload/5/52/322MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/322.png",3
"323",323,"camerupt",323,0.19,22,161,"fogo","terrestre",70,100,70,105,75,40,"#F08030","#E0C068","#EC8F3D","ground",NA,"//archives.bulbagarden.net/media/upload/8/8e/323MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/323.png",3
"324",324,"torkoal",324,0.05,8.04,165,"fogo",NA,70,85,140,85,70,20,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/4/49/324MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/324.png",3
"325",325,"spoink",325,0.07,3.06,66,"psíquico",NA,60,25,35,70,80,60,"#F85888",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/a/ab/325MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/325.png",3
"326",326,"grumpig",326,0.09,7.15,165,"psíquico",NA,80,45,65,90,110,80,"#F85888",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/5/53/326MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/326.png",3
"327",327,"spinda",327,0.11,0.5,126,"normal",NA,60,60,60,60,60,60,"#A8A878",NA,NA,"ground","humanshape","//archives.bulbagarden.net/media/upload/f/f9/327MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/327.png",3
"328",328,"trapinch",328,0.07,1.5,58,"terrestre",NA,45,100,45,45,45,10,"#E0C068",NA,NA,"bug",NA,"//archives.bulbagarden.net/media/upload/c/cb/328MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/328.png",3
"329",329,"vibrava",329,0.11,1.53,119,"terrestre","dragão",50,70,50,50,50,70,"#E0C068","#7038F8","#C49F8A","bug",NA,"//archives.bulbagarden.net/media/upload/a/a6/329MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/329.png",3
"330",330,"flygon",330,0.2,8.2,234,"terrestre","dragão",80,100,80,80,80,100,"#E0C068","#7038F8","#C49F8A","bug",NA,"//archives.bulbagarden.net/media/upload/e/ee/330MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/330.png",3
"331",331,"cacnea",331,0.04,5.13,67,"grama",NA,50,85,40,85,40,35,"#78C850",NA,NA,"plant","humanshape","//archives.bulbagarden.net/media/upload/7/70/331MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/331.png",3
"332",332,"cacturne",332,0.13,7.74,166,"grama","sombrio",70,115,60,115,60,55,"#78C850","#705848","#76AC4E","plant","humanshape","//archives.bulbagarden.net/media/upload/9/94/332MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/332.png",3
"333",333,"swablu",333,0.04,0.12,62,"normal","voador",45,40,60,40,75,50,"#A8A878","#A890F0","#A8A295","flying","dragon","//archives.bulbagarden.net/media/upload/4/42/333MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/333.png",3
"334",334,"altaria",334,0.11,2.06,172,"dragão","voador",75,70,90,70,105,80,"#7038F8","#A890F0","#7D4DF6","flying","dragon","//archives.bulbagarden.net/media/upload/0/07/334MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/334.png",3
"335",335,"zangoose",335,0.13,4.03,160,"normal",NA,73,115,60,60,60,90,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/c/c6/335MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/335.png",3
"336",336,"seviper",336,0.27,5.25,160,"venenoso",NA,73,100,60,100,60,65,"#A040A0",NA,NA,"ground","dragon","//archives.bulbagarden.net/media/upload/a/a5/336MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/336.png",3
"337",337,"lunatone",337,0.1,16.8,161,"pedra","psíquico",90,55,65,95,85,70,"#B8A038","#F85888","#C78E4B","mineral",NA,"//archives.bulbagarden.net/media/upload/7/71/337MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/337.png",3
"338",338,"solrock",338,0.12,15.4,161,"pedra","psíquico",90,95,85,55,65,70,"#B8A038","#F85888","#C78E4B","mineral",NA,"//archives.bulbagarden.net/media/upload/d/d5/338MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/338.png",3
"339",339,"barboach",339,0.04,0.19,58,"água","terrestre",50,48,43,46,41,60,"#6890F0","#E0C068","#859BCF","water2",NA,"//archives.bulbagarden.net/media/upload/b/b1/339MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/339.png",3
"340",340,"whiscash",340,0.09,2.36,164,"água","terrestre",110,78,73,76,71,60,"#6890F0","#E0C068","#859BCF","water2",NA,"//archives.bulbagarden.net/media/upload/c/cd/340MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/340.png",3
"341",341,"corphish",341,0.06,1.15,62,"água",NA,43,80,65,50,35,35,"#6890F0",NA,NA,"water1","water3","//archives.bulbagarden.net/media/upload/0/09/341MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/341.png",3
"342",342,"crawdaunt",342,0.11,3.28,164,"água","sombrio",63,120,85,90,55,55,"#6890F0","#705848","#6982C7","water1","water3","//archives.bulbagarden.net/media/upload/2/20/342MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/342.png",3
